"website","City","Name","Str","DealerNr","PLZ2","Trail","Phone","Plz","Latitude","Longitude","Completed","DealerFactor"
"http:/www.autohaus-thomas-kapinsky.de","Berlin","Autohaus Thomas Kapinsky GmbH & Co. KG","Blankenburger Straße 95","7","13","Everything about Service Leads","+49 30 4789960","13089",52.573267,13.443985,76,1.06
"0","Berlin","Willi Britsch GmbH","Grenzallee 100","8","12","Everything about Service Leads","+49 30 689850","12057",52.464327,13.446074,72,0.89
"http:/www.volkswagen-moebus.de","Berlin","Autohaus Möbus GmbH","Hansastraße 202","9","13","Everything about Service Leads","+49 30 9627620","13088",52.557932,13.492706,75,1.75
"http:/www.volkswagen-autohaus-pusch.de","Berlin","Wilhelm Pusch Kraftfahrzeuge GmbH & Co. KG","Mecklenburgische Straße 23","10","14","Everything about Service Leads","+49 30 8209070","14197",52.479611,13.310888,68,1.73
"http:/www.volkswagen-berolina.de","Berlin","Autohaus Berolina GmbH Cicerostr.","Cicerostraße 34","11","10","Everything about Service Leads","+49 30 338009142","10709",52.490626,13.301218,81,1.2
"http:/www.autohaus-friedrichthiele-berlin.de","Berlin","Friedrich Thiele OHG","Sophie-Charlotten-Straße 7","12","14","Everything about Service Leads","+49 30 3267600","14059",52.521685,13.284828,81,0.85
"http:/www.vw.autohaus-berlin.de","Berlin","ASB Autohaus Berlin GmbH Marzahn","Marzahner Chaussee 234","13","12","Everything about Service Leads","+49 30 547970","12681",52.53081,13.531643,82,1.71
"http:/www.volkswagen-berolina.de","Berlin","Autohaus Berolina GmbH Ringstr.","Ringstraße 50","14","12","Everything about Service Leads","+49 30 338009390","12105",52.442463,13.377478,72,1.7
"0","Berlin","Auto Barth GmbH","Friedrichshaller Straße 39-40","15","14","Everything about Service Leads","+49 30 8979790","14199",52.475381,13.294983,72,0.91
"http:/www.vw-laatzig-berlin.de","Berlin","Hans Laatzig Automobile GmbH","Eichhorster Weg 91","16","13","Everything about Service Leads","+49 30 4090030","13435",52.602944,13.334898,78,1.56
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Berliner Str.","Berliner Straße 68","17","13","Everything about Service Leads","+49 30 89081800","13507",52.582073,13.290807,78,1.29
"http:/www.volkswagen-automobile-libera.de","Berlin","Automobile Libera","Säntisstr. 51 - 57","18","12","Everything about Service Leads","+49 30 7431041","12277",52.52045,13.40732,68,0.91
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH am Juliusturm","Am Juliusturm 10","19","13","Everything about Service Leads","+49 30 89081400","13599",52.538438,13.229127,69,1
"http:/www.volkswagen-zellmann-berlin.de","Berlin","Auto-Zellmann GmbH","Rudower Straße 25 - 29","20","12","Everything about Service Leads","+49 30 6797210","12524",52.433998,13.469765,80,2
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Goerzallee","Goerzallee 251","21","14","Everything about Service Leads","+49 30 89081600","14167",52.415247,13.283711,88,1.23
"http:/www.volkswagen-berolina.de","Berlin","Audi Zentrum Berlin-Spandau GmbH","Brunsbütteler Damm 40-50","22","13","Everything about Service Leads","+49 30 338009490","13581",52.533099,13.156191,70,1.58
"0","Berlin","Klaus Piontek GmbH","Waltersdorfer Chaussee 18-20","23","12","Everything about Service Leads","+49 30 6097070","12355",52.415723,13.497994,88,1.16
"http:/www.vw-auto-adler.de","Berlin","AUTO-Adler GmbH","Wendenschloßstraße 290","24","12","Everything about Service Leads","+49 30 6580190","12557",52.429732,13.583759,72,1.75
"0","München","Handler München","0","25","80","Everything about Service Leads","0","80",48.135125,11.581981,86,154
"0","Stuttgart","Händler Stuttgart","0","26","70","Everything about Service Leads","0","70",48.775846,9.182932,85,104
"0","Frankfurt","Händler Frankfurt","0","27","60","Everything about Service Leads","0","60",50.110922,8.682127,82,77
"0","Düsseldorf","Händler Düsseldorf","0","28","40","Everything about Service Leads","0","40",51.227741,6.773456,76,169
"0","Hamburg","Händler Hamburg","0","29","20","Everything about Service Leads","0","20",53.551085,9.993682,68,51
"0","Hannover","Händler Hannover","0","30","30","Everything about Service Leads","0","30",52.375892,9.73201,70,259
"0","Erfurt","Händler Erfurt","0","31","99","Everything about Service Leads","0","99",50.984768,11.02988,83,17
"0","Schwerin","Händler Schwerin","0","32","19","Everything about Service Leads","0","19",53.635502,11.40125,83,11
"0","Kiel","Händler Kiel","0","33","24","Everything about Service Leads","0","24",54.323292,10.122765,78,26
"0","Potsdam","Händler Potsdam","0","34","14","Everything about Service Leads","0","14",52.396149,13.05854,80,15
"0","Leipzig","Händler Leipzig","0","35","04","Everything about Service Leads","0","04",51.339695,12.373075,69,31
"0","Saarbrücken","Händler Saarbrücken","0","36","66","Everything about Service Leads","0","66",49.234779,6.9944,80,4
"0","Wiesbaden","Händler Wiesbaden","0","37","65","Everything about Service Leads","0","65",50.078217,8.239761,84,31
"0","Bremen","Händler Bremen","0","38","28","Everything about Service Leads","0","28",53.079296,8.801694,80,5
"0","Magdeburg","Händler Magdeburg","0","39","39","Everything about Service Leads","0","39",52.131672,11.64032,75,17
